delta,Force,delta_theor,error
0,0,0,0%
1,134,0.017528707,98%
2,141,0.018444386,99%
3,146,0.019098442,99%
4,156,0.020406555,99%
5,164,0.021453045,100%
6,170,0.022237912,100%
7,177,0.023153591,100%
8,184,0.02406927,100%
9,193,0.025246571,100%
10,196,0.025639005,100%
11,203,0.026554683,100%
12,214,0.027993607,100%
13,223,0.029170908,100%
14,230,0.030086587,100%
15,236,0.030871454,100%
16,249,0.032572001,100%
17,253,0.033095246,100%
18,258,0.033749302,100%
19,267,0.034926603,100%
20,275,0.035973093,100%
21,280,0.036627149,100%
21.3,237,0.031002266,100%
22,245,0.032048756,100%
23,243,0.031787133,100%
24,249,0.032572001,100%
25,249,0.032572001,100%
