delta,Force,delta theor
0,0,0
1,134,1.75287072
2,141,1.844438593
3,146,1.909844217
4,156,2.040655465
5,164,2.145304463
6,170,2.223791212
7,177,2.315359085
8,184,2.406926959
9,193,2.524657082
10,196,25.63900456
11,203,26.55468329
12,214,27.99360702
13,223,29.17090825
14,230,30.08658698
15,236,30.87145447
16,249,32.57200069
17,253,33.09524568
18,258,33.74930192
19,267,34.92660315
20,275,35.97309313
21,280,36.62714937
21.3,237,31.00226572
22,245,32.0487557
23,243,31.7871332
24,249,32.57200069
25,249,32.57200069
